gene	R570_mean_TPM	lost_in_Saccharum_hybrid_cultivar	lost_in_Saccharum_officinarum	lost_in_Saccharum_spontaneum	lost_in_Tripidium_arundinaceum
SoffiXsponR570.02Bg226900.v2.1	5.409	no	no	no	yes
SoffiXsponR570.7_10Ag038600.v2.1	5.408	no	no	no	yes
SoffiXsponR570.05Fg192000.v2.1	5.407	no	no	no	yes
SoffiXsponR570.07Bg233100.v2.1	5.406	no	no	no	yes
SoffiXsponR570.05Bg163300.v2.1	5.404	no	no	no	yes
SoffiXsponR570.01Ag316000.v2.1	5.404	no	no	no	yes
SoffiXsponR570.1Z090000.v2.1	5.403	no	no	no	yes
SoffiXsponR570.8_5Ag136100.v2.1	5.4	no	no	no	yes
SoffiXsponR570.10Dg013300.v2.1	5.397	no	no	no	yes
SoffiXsponR570.10Bg067700.v2.1	5.395	no	no	no	yes
SoffiXsponR570.06Ag149600.v2.1	5.394	no	no	no	yes
SoffiXsponR570.01Eg073900.v2.1	5.393	no	no	no	yes
SoffiXsponR570.09Ag017400.v2.1	5.393	no	no	no	yes
SoffiXsponR570.8_10Ag047900.v2.1	5.392	no	no	no	yes
SoffiXsponR570.05Cg167100.v2.1	5.388	no	no	no	yes
SoffiXsponR570.05Bg028300.v2.1	5.385	no	no	no	yes
SoffiXsponR570.05Gg170900.v2.1	5.384	no	no	no	yes
SoffiXsponR570.5_9Ag307600.v2.1	5.384	no	no	no	yes
SoffiXsponR570.09Cg071500.v2.1	5.381	no	no	no	yes
SoffiXsponR570.05Bg210800.v2.1	5.381	no	no	no	yes
SoffiXsponR570.01Eg085900.v2.1	5.381	no	no	no	yes
SoffiXsponR570.06Cg159700.v2.1	5.381	no	no	no	yes
SoffiXsponR570.09Cg048200.v2.1	5.38	no	no	no	yes
SoffiXsponR570.05Bg217100.v2.1	5.38	no	no	no	yes
SoffiXsponR570.03Dg038900.v2.1	5.379	no	no	no	yes
SoffiXsponR570.02Gg321400.v2.1	5.378	no	no	no	yes
SoffiXsponR570.03Cg036200.v2.1	5.377	no	no	no	yes
SoffiXsponR570.02Bg100000.v2.1	5.376	no	no	no	yes
SoffiXsponR570.02Bg008900.v2.1	5.372	no	no	no	yes
SoffiXsponR570.03Gg116800.v2.1	5.37	no	no	no	yes
SoffiXsponR570.08Ag136700.v2.1	5.369	no	no	no	yes
SoffiXsponR570.02Cg034800.v2.1	5.368	no	no	no	yes
SoffiXsponR570.03Bg202700.v2.1	5.367	no	no	no	yes
SoffiXsponR570.6_9Ag113800.v2.1	5.366	no	yes	yes	yes
SoffiXsponR570.01Bg414300.v2.1	5.366	no	no	no	yes
SoffiXsponR570.04Dg201000.v2.1	5.366	no	no	no	yes
SoffiXsponR570.03Eg110700.v2.1	5.361	no	no	no	yes
SoffiXsponR570.03Bg149900.v2.1	5.361	no	no	no	yes
SoffiXsponR570.03Eg030200.v2.1	5.36	no	no	no	yes
SoffiXsponR570.02Ag144300.v2.1	5.36	no	no	no	yes
SoffiXsponR570.02Gg112200.v2.1	5.36	no	no	no	yes
SoffiXsponR570.02Ag048900.v2.1	5.359	no	no	no	yes
SoffiXsponR570.09Cg122800.v2.1	5.359	no	no	no	yes
SoffiXsponR570.06Eg150900.v2.1	5.358	no	no	no	yes
SoffiXsponR570.05Bg121700.v2.1	5.357	no	no	no	yes
SoffiXsponR570.03Fg131900.v2.1	5.355	no	no	no	yes
SoffiXsponR570.02Gg149000.v2.1	5.35	no	no	no	yes
SoffiXsponR570.01Cg200800.v2.1	5.348	no	no	no	yes
SoffiXsponR570.10Fg045200.v2.1	5.348	no	no	no	yes
SoffiXsponR570.8_5Ag177900.v2.1	5.346	no	no	no	yes
SoffiXsponR570.01Cg149500.v2.1	5.344	no	no	no	yes
SoffiXsponR570.05Eg055900.v2.1	5.343	no	no	no	yes
SoffiXsponR570.02Dg182700.v2.1	5.343	no	no	no	yes
SoffiXsponR570.1Z097500.v2.1	5.341	no	no	no	yes
SoffiXsponR570.08Cg106000.v2.1	5.34	no	no	no	yes
SoffiXsponR570.01Bg027900.v2.1	5.34	no	no	no	yes
SoffiXsponR570.10Ag110200.v2.1	5.339	no	no	no	yes
SoffiXsponR570.03Cg161600.v2.1	5.335	no	no	no	yes
SoffiXsponR570.07Dg155200.v2.1	5.33	no	no	no	yes
SoffiXsponR570.01Bg313000.v2.1	5.323	no	no	no	yes
SoffiXsponR570.04Ag175700.v2.1	5.322	no	no	no	yes
SoffiXsponR570.01Bg418800.v2.1	5.32	no	no	no	yes
SoffiXsponR570.01Bg276000.v2.1	5.318	no	no	no	yes
SoffiXsponR570.01Bg282000.v2.1	5.318	no	no	no	yes
SoffiXsponR570.01Cg089200.v2.1	5.316	no	no	no	yes
SoffiXsponR570.06Cg108800.v2.1	5.313	no	no	no	yes
SoffiXsponR570.06Eg004600.v2.1	5.309	no	no	no	yes
SoffiXsponR570.06Gg128300.v2.1	5.307	no	no	no	yes
SoffiXsponR570.05Eg048500.v2.1	5.306	no	no	no	yes
SoffiXsponR570.02Fg110400.v2.1	5.306	no	no	no	yes
SoffiXsponR570.03Cg322900.v2.1	5.306	no	no	no	yes
SoffiXsponR570.07Bg146200.v2.1	5.306	no	no	no	yes
SoffiXsponR570.06Dg013000.v2.1	5.305	no	no	no	yes
SoffiXsponR570.06Ag060200.v2.1	5.304	no	no	no	yes
SoffiXsponR570.4us91g041800.v2.1	5.303	no	no	no	yes
SoffiXsponR570.7_10Ag003700.v2.1	5.302	no	no	no	yes
SoffiXsponR570.08Eg125600.v2.1	5.3	no	no	no	yes
SoffiXsponR570.01Bg434500.v2.1	5.295	no	no	no	yes
SoffiXsponR570.07Ag092200.v2.1	5.294	no	no	no	yes
SoffiXsponR570.06Fg005900.v2.1	5.293	no	no	no	yes
SoffiXsponR570.8_5Ag076900.v2.1	5.292	no	no	no	yes
SoffiXsponR570.07Eg157800.v2.1	5.289	no	no	no	yes
SoffiXsponR570.8_5Ag071900.v2.1	5.282	no	no	no	yes
SoffiXsponR570.05Bg372500.v2.1	5.282	no	no	no	yes
SoffiXsponR570.01Bg471900.v2.1	5.282	no	no	no	yes
SoffiXsponR570.10Fg058400.v2.1	5.281	no	no	no	yes
SoffiXsponR570.08Cg175000.v2.1	5.279	no	no	no	yes
SoffiXsponR570.03Dg018000.v2.1	5.278	no	no	no	yes
SoffiXsponR570.06Gg156800.v2.1	5.277	no	no	no	yes
SoffiXsponR570.02Bg320600.v2.1	5.275	no	no	no	yes
SoffiXsponR570.10Bg104200.v2.1	5.273	no	no	no	yes
SoffiXsponR570.07Ag252000.v2.1	5.271	no	no	no	yes
SoffiXsponR570.02Bg026200.v2.1	5.27	no	no	no	yes
SoffiXsponR570.09Ag009900.v2.1	5.269	no	no	no	yes
SoffiXsponR570.02Bg076500.v2.1	5.269	no	no	no	yes
SoffiXsponR570.03Eg061500.v2.1	5.267	no	no	no	yes
SoffiXsponR570.07Ag096600.v2.1	5.263	no	no	no	yes
SoffiXsponR570.02Ag291300.v2.1	5.26	no	no	no	yes
SoffiXsponR570.03Gg102100.v2.1	5.26	no	no	no	yes
SoffiXsponR570.10Cg168800.v2.1	5.258	no	no	no	yes
SoffiXsponR570.04Eg079400.v2.1	5.258	no	no	no	yes
SoffiXsponR570.10os1g040700.v2.1	5.257	no	no	no	yes
SoffiXsponR570.09Ag119900.v2.1	5.251	no	no	no	yes
SoffiXsponR570.05Cg357800.v2.1	5.249	no	no	no	yes
SoffiXsponR570.02Ag400200.v2.1	5.245	no	no	no	yes
SoffiXsponR570.9us90g072400.v2.1	5.243	no	no	no	yes
SoffiXsponR570.06Cg061900.v2.1	5.243	no	no	no	yes
SoffiXsponR570.03Ag269500.v2.1	5.242	no	no	no	yes
SoffiXsponR570.08Eg147700.v2.1	5.242	no	no	no	yes
SoffiXsponR570.01Cg131700.v2.1	5.24	no	no	no	yes
SoffiXsponR570.08Ag089500.v2.1	5.238	no	no	no	yes
SoffiXsponR570.01Eg029400.v2.1	5.238	no	no	no	yes
SoffiXsponR570.01Eg022900.v2.1	5.238	no	no	no	yes
SoffiXsponR570.03Ag236100.v2.1	5.236	no	no	no	yes
SoffiXsponR570.03Bg072900.v2.1	5.236	no	no	no	yes
SoffiXsponR570.05Fg196100.v2.1	5.235	no	no	no	yes
SoffiXsponR570.04Eg066900.v2.1	5.235	no	no	no	yes
SoffiXsponR570.02Bg075800.v2.1	5.235	no	no	no	yes
SoffiXsponR570.01Eg085400.v2.1	5.234	no	no	no	yes
SoffiXsponR570.03Bg265900.v2.1	5.233	no	no	no	yes
SoffiXsponR570.01Eg286400.v2.1	5.228	no	no	no	yes
SoffiXsponR570.06Ag064600.v2.1	5.228	no	no	no	yes
SoffiXsponR570.03Dg205300.v2.1	5.226	no	yes	no	yes
SoffiXsponR570.6us88g078300.v2.1	5.224	no	no	no	yes
SoffiXsponR570.08Bg176200.v2.1	5.224	no	no	no	yes
SoffiXsponR570.10Cg138200.v2.1	5.222	no	no	no	yes
SoffiXsponR570.01Ag125900.v2.1	5.22	no	no	no	yes
SoffiXsponR570.02Ag304700.v2.1	5.22	no	no	no	yes
SoffiXsponR570.7_10Ag360600.v2.1	5.22	no	no	no	yes
SoffiXsponR570.07Ag020400.v2.1	5.22	no	no	no	yes
SoffiXsponR570.02Bg198600.v2.1	5.22	no	no	no	yes
SoffiXsponR570.09Ag145000.v2.1	5.218	no	no	no	yes
SoffiXsponR570.1Z017400.v2.1	5.217	no	no	no	yes
SoffiXsponR570.03Cg330200.v2.1	5.216	no	no	no	yes
SoffiXsponR570.03Ag198300.v2.1	5.215	no	no	no	yes
SoffiXsponR570.03Eg108000.v2.1	5.214	no	no	no	yes
SoffiXsponR570.01Ag536500.v2.1	5.214	no	no	no	yes
SoffiXsponR570.08Bg034400.v2.1	5.214	no	no	no	yes
SoffiXsponR570.8_5Ag095000.v2.1	5.214	no	no	no	yes
SoffiXsponR570.03Dg116800.v2.1	5.213	no	no	no	yes
SoffiXsponR570.03Eg028300.v2.1	5.212	no	no	no	yes
SoffiXsponR570.05Gg084200.v2.1	5.212	no	no	no	yes
SoffiXsponR570.10Ag024500.v2.1	5.211	no	no	no	yes
SoffiXsponR570.03Bg158100.v2.1	5.211	no	no	no	yes
SoffiXsponR570.10Bg063200.v2.1	5.211	no	no	no	yes
SoffiXsponR570.08Cg162400.v2.1	5.21	no	no	no	yes
SoffiXsponR570.05Eg109500.v2.1	5.21	no	no	no	yes
SoffiXsponR570.05Eg262700.v2.1	5.209	no	no	no	yes
SoffiXsponR570.10Bg071800.v2.1	5.208	no	no	no	yes
SoffiXsponR570.07Cg272900.v2.1	5.207	no	no	no	yes
SoffiXsponR570.10os1g045500.v2.1	5.206	no	no	no	yes
SoffiXsponR570.08Eg016900.v2.1	5.205	no	no	no	yes
SoffiXsponR570.10Dg129300.v2.1	5.204	no	no	no	yes
SoffiXsponR570.03Eg244300.v2.1	5.202	no	no	no	yes
SoffiXsponR570.05Bg295900.v2.1	5.201	no	no	no	yes
SoffiXsponR570.03Bg212000.v2.1	5.198	no	no	no	yes
SoffiXsponR570.07Eg194600.v2.1	5.198	no	no	no	yes
SoffiXsponR570.01Eg035900.v2.1	5.198	no	no	no	yes
SoffiXsponR570.07Ag133900.v2.1	5.197	no	no	no	yes
SoffiXsponR570.10Fg012600.v2.1	5.193	no	no	no	yes
SoffiXsponR570.05Cg388200.v2.1	5.189	no	no	no	yes
SoffiXsponR570.05Ag205300.v2.1	5.188	no	no	no	yes
SoffiXsponR570.5_9Ag107500.v2.1	5.186	no	no	no	yes
SoffiXsponR570.02Fg121900.v2.1	5.185	no	no	no	yes
SoffiXsponR570.01Bg253100.v2.1	5.185	no	no	no	yes
SoffiXsponR570.02Gg289600.v2.1	5.18	no	no	no	yes
SoffiXsponR570.04Eg117000.v2.1	5.179	no	no	no	yes
SoffiXsponR570.08Eg069000.v2.1	5.178	no	no	no	yes
SoffiXsponR570.05Dg316200.v2.1	5.178	no	no	no	yes
SoffiXsponR570.05Eg194000.v2.1	5.172	no	no	no	yes
SoffiXsponR570.01Dg079100.v2.1	5.172	no	no	no	yes
SoffiXsponR570.05Cg040600.v2.1	5.172	no	no	no	yes
SoffiXsponR570.06Cg143400.v2.1	5.17	no	no	no	yes
SoffiXsponR570.06Gg135900.v2.1	5.17	no	no	no	yes
SoffiXsponR570.02Bg292100.v2.1	5.168	no	no	no	yes
SoffiXsponR570.04Eg019200.v2.1	5.168	no	no	no	yes
SoffiXsponR570.04Dg155200.v2.1	5.168	no	no	no	yes
SoffiXsponR570.03Dg351900.v2.1	5.167	no	no	no	yes
SoffiXsponR570.02Cg118000.v2.1	5.165	no	no	no	yes
SoffiXsponR570.03Eg274400.v2.1	5.165	no	no	no	yes
SoffiXsponR570.03Eg139700.v2.1	5.164	no	no	no	yes
SoffiXsponR570.05Fg087600.v2.1	5.164	no	no	no	yes
SoffiXsponR570.05Gg097100.v2.1	5.163	no	no	no	yes
SoffiXsponR570.02Bg207500.v2.1	5.161	no	no	no	yes
SoffiXsponR570.01Bg438300.v2.1	5.159	no	no	no	yes
SoffiXsponR570.06Cg059200.v2.1	5.158	no	no	no	yes
SoffiXsponR570.04Ag250100.v2.1	5.155	no	no	no	yes
SoffiXsponR570.05Eg216500.v2.1	5.154	no	no	no	yes
SoffiXsponR570.8_10Ag045000.v2.1	5.152	no	no	no	yes
SoffiXsponR570.07Cg087800.v2.1	5.152	no	no	no	yes
SoffiXsponR570.01Dg018900.v2.1	5.151	no	no	no	yes
SoffiXsponR570.04Ag133100.v2.1	5.15	no	no	no	yes
SoffiXsponR570.04Ag266500.v2.1	5.147	no	no	no	yes
SoffiXsponR570.08Bg133500.v2.1	5.144	no	no	yes	yes
SoffiXsponR570.05Cg352400.v2.1	5.144	no	no	no	yes
SoffiXsponR570.8_5Ag188200.v2.1	5.142	no	no	no	yes
SoffiXsponR570.06Ag127300.v2.1	5.142	no	no	no	yes
SoffiXsponR570.05Bg214700.v2.1	5.142	no	no	no	yes
SoffiXsponR570.01Cg094100.v2.1	5.142	no	no	no	yes
SoffiXsponR570.8_10Ag334200.v2.1	5.141	no	no	no	yes
SoffiXsponR570.5_9Ag092800.v2.1	5.141	no	no	no	yes
SoffiXsponR570.10Cg076200.v2.1	5.14	no	no	no	yes
SoffiXsponR570.07Eg173800.v2.1	5.138	no	no	no	yes
SoffiXsponR570.7os1g085200.v2.1	5.138	no	no	no	yes
SoffiXsponR570.04Gg015900.v2.1	5.137	no	no	no	yes
SoffiXsponR570.09Cg067600.v2.1	5.136	no	no	no	yes
SoffiXsponR570.10Eg095000.v2.1	5.134	no	no	no	yes
SoffiXsponR570.08Bg090000.v2.1	5.133	no	no	no	yes
SoffiXsponR570.05Eg131700.v2.1	5.13	no	yes	no	no
SoffiXsponR570.10Ag059200.v2.1	5.129	no	no	no	yes
SoffiXsponR570.05Fg220000.v2.1	5.129	no	no	no	yes
SoffiXsponR570.01Eg032500.v2.1	5.128	no	no	no	yes
SoffiXsponR570.08Bg092300.v2.1	5.127	no	no	no	yes
SoffiXsponR570.02Bg041300.v2.1	5.124	no	no	no	yes
SoffiXsponR570.05Cg282700.v2.1	5.123	no	no	no	yes
SoffiXsponR570.05Dg143200.v2.1	5.123	no	no	no	yes
SoffiXsponR570.6_9Ag280200.v2.1	5.122	no	no	no	yes
SoffiXsponR570.05Ag208300.v2.1	5.121	no	no	no	yes
SoffiXsponR570.07Bg076000.v2.1	5.12	no	no	no	yes
SoffiXsponR570.05Cg320900.v2.1	5.119	no	no	no	yes
SoffiXsponR570.06Dg111600.v2.1	5.114	no	no	no	yes
SoffiXsponR570.06Eg103600.v2.1	5.114	no	no	no	yes
SoffiXsponR570.05Eg213600.v2.1	5.113	no	no	no	yes
SoffiXsponR570.03Ag024700.v2.1	5.112	no	no	no	yes
SoffiXsponR570.01Dg280800.v2.1	5.11	no	no	no	yes
SoffiXsponR570.05Fg113300.v2.1	5.107	no	no	no	yes
SoffiXsponR570.01Ag546700.v2.1	5.103	no	no	no	yes
SoffiXsponR570.02Dg157700.v2.1	5.103	no	no	no	yes
SoffiXsponR570.02Fg114700.v2.1	5.101	no	no	no	yes
SoffiXsponR570.02Ag281400.v2.1	5.1	no	no	no	yes
SoffiXsponR570.03Ag142500.v2.1	5.099	no	no	no	yes
SoffiXsponR570.02Bg351100.v2.1	5.099	no	no	no	yes
SoffiXsponR570.05Ag046300.v2.1	5.097	no	no	no	yes
SoffiXsponR570.02Cg285700.v2.1	5.097	no	no	no	yes
SoffiXsponR570.1Z186500.v2.1	5.095	no	no	no	yes
SoffiXsponR570.5_9Ag267400.v2.1	5.095	no	no	no	yes
SoffiXsponR570.07Bg047400.v2.1	5.093	no	no	no	yes
SoffiXsponR570.01Dg201700.v2.1	5.089	no	no	no	yes
SoffiXsponR570.02Cg116300.v2.1	5.088	no	no	no	yes
SoffiXsponR570.07Bg268200.v2.1	5.088	no	no	no	yes
SoffiXsponR570.02Bg341300.v2.1	5.088	no	no	no	yes
SoffiXsponR570.03Cg003300.v2.1	5.088	no	no	no	yes
SoffiXsponR570.09Dg020000.v2.1	5.087	no	no	no	yes
SoffiXsponR570.1os1g008400.v2.1	5.083	no	no	no	yes
SoffiXsponR570.09Cg078300.v2.1	5.083	no	no	no	yes
SoffiXsponR570.06Eg056400.v2.1	5.082	no	no	no	yes
SoffiXsponR570.01Cg273400.v2.1	5.082	no	no	no	yes
SoffiXsponR570.02Ag235700.v2.1	5.079	no	no	no	yes
SoffiXsponR570.6us88g097300.v2.1	5.077	no	no	no	yes
SoffiXsponR570.03Ag074200.v2.1	5.077	no	no	no	yes
SoffiXsponR570.08Dg001100.v2.1	5.076	no	no	no	yes
SoffiXsponR570.09Eg021900.v2.1	5.076	no	no	no	yes
SoffiXsponR570.02Ag097700.v2.1	5.075	no	no	no	yes
SoffiXsponR570.08Bg134600.v2.1	5.073	no	no	yes	no
SoffiXsponR570.03Ag036000.v2.1	5.071	no	no	no	yes
SoffiXsponR570.03Ag253700.v2.1	5.068	no	no	no	yes
SoffiXsponR570.05Cg009300.v2.1	5.062	no	no	no	yes
SoffiXsponR570.06Ag113600.v2.1	5.06	no	no	no	yes
SoffiXsponR570.03Bg303200.v2.1	5.058	no	no	no	yes
SoffiXsponR570.3os4g001400.v2.1	5.057	no	no	no	yes
SoffiXsponR570.05Cg235600.v2.1	5.056	no	no	no	yes
SoffiXsponR570.03Ag349000.v2.1	5.055	no	no	no	yes
SoffiXsponR570.03Gg036700.v2.1	5.055	no	no	no	yes
SoffiXsponR570.06Fg006100.v2.1	5.051	no	no	no	yes
SoffiXsponR570.09Ag107600.v2.1	5.051	no	no	no	yes
SoffiXsponR570.06Gg097600.v2.1	5.05	no	no	no	yes
SoffiXsponR570.02Ag190200.v2.1	5.049	no	no	no	yes
SoffiXsponR570.04Bg081200.v2.1	5.048	no	no	no	yes
SoffiXsponR570.01Bg395400.v2.1	5.048	no	no	no	yes
SoffiXsponR570.01Ag497900.v2.1	5.047	no	no	no	yes
SoffiXsponR570.02Fg356500.v2.1	5.046	no	no	no	yes
SoffiXsponR570.02Bg279600.v2.1	5.045	no	no	no	yes
SoffiXsponR570.04Ag078000.v2.1	5.045	no	no	no	yes
SoffiXsponR570.07Dg173300.v2.1	5.044	no	no	no	yes
SoffiXsponR570.09Cg125700.v2.1	5.044	no	no	no	yes
SoffiXsponR570.03Ag010100.v2.1	5.042	no	no	no	yes
SoffiXsponR570.05Bg134600.v2.1	5.042	no	no	no	yes
SoffiXsponR570.05Cg267900.v2.1	5.042	no	no	no	yes
SoffiXsponR570.10Bg117000.v2.1	5.042	no	no	no	yes
SoffiXsponR570.08Cg116800.v2.1	5.041	no	no	no	yes
SoffiXsponR570.02Bg304800.v2.1	5.041	no	no	no	yes
SoffiXsponR570.05Fg280000.v2.1	5.037	no	no	no	yes
SoffiXsponR570.04Dg168500.v2.1	5.034	no	no	no	yes
SoffiXsponR570.01Dg318800.v2.1	5.03	no	no	no	yes
SoffiXsponR570.07Cg034200.v2.1	5.029	no	no	no	yes
SoffiXsponR570.02Gg220400.v2.1	5.027	no	no	no	yes
SoffiXsponR570.8_5Ag109000.v2.1	5.026	no	no	no	yes
SoffiXsponR570.05Bg093100.v2.1	5.025	no	no	no	yes
SoffiXsponR570.03Cg042100.v2.1	5.024	no	no	no	yes
SoffiXsponR570.03Cg221900.v2.1	5.023	no	no	no	yes
SoffiXsponR570.06Cg104900.v2.1	5.022	no	no	no	yes
SoffiXsponR570.10Ag036500.v2.1	5.022	no	no	no	yes
SoffiXsponR570.9us90g010300.v2.1	5.022	no	no	no	yes
SoffiXsponR570.07Bg196600.v2.1	5.02	no	no	no	yes
SoffiXsponR570.07Ag207000.v2.1	5.02	no	no	no	yes
SoffiXsponR570.03Cg309000.v2.1	5.019	no	no	no	yes
SoffiXsponR570.08Ag114100.v2.1	5.019	no	no	no	yes
SoffiXsponR570.04Gg109500.v2.1	5.016	no	no	no	yes
SoffiXsponR570.07Ag226500.v2.1	5.016	no	no	no	yes
SoffiXsponR570.07Bg021200.v2.1	5.016	no	no	no	yes
SoffiXsponR570.07Dg034100.v2.1	5.015	no	no	no	yes
SoffiXsponR570.01Eg277600.v2.1	5.012	no	no	no	yes
SoffiXsponR570.05Ag385400.v2.1	5.011	no	no	no	yes
SoffiXsponR570.04Cg040500.v2.1	5.009	no	no	no	yes
SoffiXsponR570.01Eg386600.v2.1	5.008	no	no	no	yes
SoffiXsponR570.05Cg047800.v2.1	5.007	no	no	no	yes
SoffiXsponR570.08Cg049400.v2.1	5.002	no	no	no	yes
SoffiXsponR570.05Gg004800.v2.1	5.001	no	no	no	yes
SoffiXsponR570.07Eg081800.v2.1	5.0	no	no	no	yes
SoffiXsponR570.03Cg278100.v2.1	4.998	no	no	no	yes
SoffiXsponR570.02Ag315400.v2.1	4.997	no	no	no	yes
SoffiXsponR570.01Cg093600.v2.1	4.997	no	no	no	yes
SoffiXsponR570.07Cg100800.v2.1	4.994	no	no	no	yes
SoffiXsponR570.09Bg094400.v2.1	4.994	no	no	no	yes
SoffiXsponR570.10Ag138700.v2.1	4.993	no	no	no	yes
SoffiXsponR570.06Dg009000.v2.1	4.993	no	no	no	yes
SoffiXsponR570.04Ag045800.v2.1	4.993	no	no	no	yes
SoffiXsponR570.02Fg211600.v2.1	4.992	no	no	no	yes
SoffiXsponR570.06Cg049700.v2.1	4.992	no	no	no	yes
SoffiXsponR570.10Fg019200.v2.1	4.992	no	no	no	yes
SoffiXsponR570.04Dg003800.v2.1	4.992	no	no	no	yes
SoffiXsponR570.07Dg040900.v2.1	4.991	no	no	no	yes
SoffiXsponR570.09Bg060900.v2.1	4.991	no	no	no	yes
SoffiXsponR570.02Cg173600.v2.1	4.989	no	no	no	yes
SoffiXsponR570.02Gg101500.v2.1	4.988	no	no	no	yes
SoffiXsponR570.01Eg207300.v2.1	4.987	no	no	no	yes
SoffiXsponR570.01Ag409900.v2.1	4.985	no	no	no	yes
SoffiXsponR570.05Dg327100.v2.1	4.984	no	no	no	yes
SoffiXsponR570.01Fg018200.v2.1	4.983	no	no	no	yes
SoffiXsponR570.05Cg338000.v2.1	4.983	no	no	no	yes
SoffiXsponR570.01Cg250500.v2.1	4.981	no	no	no	yes
SoffiXsponR570.03Eg185900.v2.1	4.98	no	no	no	yes
SoffiXsponR570.04Gg020700.v2.1	4.979	no	no	no	yes
SoffiXsponR570.04Cg121200.v2.1	4.979	no	no	no	yes
SoffiXsponR570.10Dg183600.v2.1	4.977	no	no	no	yes
SoffiXsponR570.01Cg115100.v2.1	4.976	no	no	no	yes
SoffiXsponR570.5_9Ag459600.v2.1	4.975	no	no	no	yes
SoffiXsponR570.05Cg273700.v2.1	4.974	no	no	no	yes
SoffiXsponR570.10Ag050600.v2.1	4.974	no	no	no	yes
SoffiXsponR570.05Bg209500.v2.1	4.973	no	no	no	yes
SoffiXsponR570.02Ag316400.v2.1	4.972	no	no	no	yes
SoffiXsponR570.02Bg211700.v2.1	4.971	no	no	no	yes
SoffiXsponR570.05Fg227600.v2.1	4.971	no	no	no	yes
SoffiXsponR570.07Bg253900.v2.1	4.97	no	no	no	yes
SoffiXsponR570.05Cg125400.v2.1	4.969	no	no	no	yes
SoffiXsponR570.02Dg169500.v2.1	4.968	no	no	no	yes
SoffiXsponR570.10Dg123700.v2.1	4.968	no	no	no	yes
SoffiXsponR570.10Bg161300.v2.1	4.967	no	no	no	yes
SoffiXsponR570.01Dg118000.v2.1	4.966	no	no	no	yes
SoffiXsponR570.01Bg264600.v2.1	4.963	no	no	no	yes
SoffiXsponR570.03Eg145900.v2.1	4.963	no	no	no	yes
SoffiXsponR570.07Bg018300.v2.1	4.962	no	no	no	yes
SoffiXsponR570.04Ag093400.v2.1	4.961	no	no	no	yes
SoffiXsponR570.10us89g046300.v2.1	4.958	no	no	no	yes
SoffiXsponR570.02Bg072800.v2.1	4.956	no	no	no	yes
SoffiXsponR570.02Ag202000.v2.1	4.955	no	no	no	yes
SoffiXsponR570.09Dg061000.v2.1	4.955	no	no	no	yes
SoffiXsponR570.06Eg108200.v2.1	4.949	no	no	no	yes
SoffiXsponR570.01Cg147400.v2.1	4.947	no	no	no	yes
SoffiXsponR570.08Cg146900.v2.1	4.946	no	no	no	yes
SoffiXsponR570.10Bg142500.v2.1	4.946	no	no	no	yes
SoffiXsponR570.01Bg398400.v2.1	4.946	no	no	no	yes
SoffiXsponR570.05Gg184800.v2.1	4.946	no	no	no	yes
SoffiXsponR570.06Gg025300.v2.1	4.945	no	no	no	yes
SoffiXsponR570.05Fg094500.v2.1	4.944	no	no	no	yes
SoffiXsponR570.02Gg240100.v2.1	4.943	no	no	no	yes
SoffiXsponR570.02Cg225900.v2.1	4.942	no	no	no	yes
SoffiXsponR570.05Eg253600.v2.1	4.942	no	no	no	yes
SoffiXsponR570.8_5Ag060200.v2.1	4.939	no	no	no	yes
SoffiXsponR570.02Ag038200.v2.1	4.936	no	no	no	yes
SoffiXsponR570.02Eg347700.v2.1	4.935	no	no	no	yes
SoffiXsponR570.06Eg010700.v2.1	4.933	no	no	no	yes
SoffiXsponR570.02Dg072000.v2.1	4.93	no	no	no	yes
SoffiXsponR570.1Z023200.v2.1	4.93	no	no	no	yes
SoffiXsponR570.03Ag341100.v2.1	4.929	no	no	no	yes
SoffiXsponR570.05Dg023300.v2.1	4.929	no	no	no	yes
SoffiXsponR570.07Dg154700.v2.1	4.928	no	no	no	yes
SoffiXsponR570.1Z197100.v2.1	4.928	no	no	no	yes
SoffiXsponR570.08Eg132400.v2.1	4.925	no	no	no	yes
SoffiXsponR570.06Cg145700.v2.1	4.925	no	no	no	yes
SoffiXsponR570.05Dg140100.v2.1	4.925	no	no	no	yes
SoffiXsponR570.01Fg123000.v2.1	4.924	no	no	no	yes
SoffiXsponR570.08Cg062700.v2.1	4.923	no	no	no	yes
SoffiXsponR570.05Fg268600.v2.1	4.921	no	no	no	yes
SoffiXsponR570.01Dg291000.v2.1	4.92	no	no	no	yes
SoffiXsponR570.02Ag060900.v2.1	4.918	no	no	no	yes
SoffiXsponR570.10Bg072700.v2.1	4.917	no	no	no	yes
SoffiXsponR570.01Cg258300.v2.1	4.914	no	no	no	yes
SoffiXsponR570.05Eg333100.v2.1	4.914	no	no	no	yes
SoffiXsponR570.8_5Ag076300.v2.1	4.911	no	no	no	yes
SoffiXsponR570.03Ag084200.v2.1	4.909	no	no	no	yes
SoffiXsponR570.01Ag158900.v2.1	4.906	no	no	no	yes
SoffiXsponR570.05Fg163400.v2.1	4.906	no	no	no	yes
SoffiXsponR570.03Cg241900.v2.1	4.904	no	no	no	yes
SoffiXsponR570.10Dg012700.v2.1	4.903	no	no	no	yes
SoffiXsponR570.02Bg349800.v2.1	4.901	no	no	no	yes
