gene	R570_mean_TPM	lost_in_Saccharum_hybrid_cultivar	lost_in_Saccharum_officinarum	lost_in_Saccharum_spontaneum	lost_in_Tripidium_arundinaceum
SoffiXsponR570.02Bg187500.v2.1	93.038	no	no	no	yes
SoffiXsponR570.7os1g066400.v2.1	91.53	no	yes	no	yes
SoffiXsponR570.03Ag057600.v2.1	91.337	no	no	no	yes
SoffiXsponR570.04Dg052900.v2.1	90.391	no	no	no	yes
SoffiXsponR570.02Ag314900.v2.1	90.236	no	no	no	yes
SoffiXsponR570.02Fg189500.v2.1	90.084	no	no	no	yes
SoffiXsponR570.03Ag054000.v2.1	89.854	no	no	no	yes
SoffiXsponR570.02Fg095400.v2.1	89.666	no	no	no	yes
SoffiXsponR570.09Eg019900.v2.1	89.532	no	no	no	yes
SoffiXsponR570.8_5Ag060000.v2.1	89.308	no	no	no	yes
SoffiXsponR570.04Ag041700.v2.1	88.994	no	no	no	yes
SoffiXsponR570.07Bg052000.v2.1	88.877	no	no	no	yes
SoffiXsponR570.09Ag109400.v2.1	88.138	no	no	no	yes
SoffiXsponR570.05Fg235700.v2.1	88.038	no	no	no	yes
SoffiXsponR570.02Ag199900.v2.1	87.967	no	no	no	yes
SoffiXsponR570.04Dg179200.v2.1	87.863	no	no	no	yes
SoffiXsponR570.7_10Ag272200.v2.1	87.641	no	no	no	yes
SoffiXsponR570.05Gg089400.v2.1	87.11	no	no	no	yes
SoffiXsponR570.02Dg365800.v2.1	87.064	no	no	no	yes
SoffiXsponR570.8_5Ag164300.v2.1	86.971	no	no	no	yes
SoffiXsponR570.02Cg409800.v2.1	86.621	no	no	no	yes
SoffiXsponR570.10Dg021000.v2.1	85.485	no	no	no	yes
SoffiXsponR570.07Bg205400.v2.1	85.39	no	no	no	yes
SoffiXsponR570.05Fg224200.v2.1	84.977	no	no	no	yes
SoffiXsponR570.01Ag373400.v2.1	84.321	no	no	no	yes
SoffiXsponR570.10Dg088600.v2.1	84.043	no	no	no	yes
SoffiXsponR570.08Eg085300.v2.1	84.042	no	no	no	yes
SoffiXsponR570.01Eg183400.v2.1	83.967	no	no	no	yes
SoffiXsponR570.02Eg094500.v2.1	83.965	no	no	no	yes
SoffiXsponR570.4us91g066500.v2.1	83.201	no	no	no	yes
SoffiXsponR570.05Ag377800.v2.1	83.095	no	no	no	yes
SoffiXsponR570.04Dg167900.v2.1	82.746	no	no	no	yes
SoffiXsponR570.01Ag036300.v2.1	82.616	no	no	no	yes
SoffiXsponR570.05Ag389900.v2.1	82.447	no	no	no	yes
SoffiXsponR570.02Ag173300.v2.1	82.374	no	no	no	yes
SoffiXsponR570.03Dg116100.v2.1	82.066	no	no	no	yes
SoffiXsponR570.02Ag218700.v2.1	81.754	no	no	no	yes
SoffiXsponR570.10Ag112900.v2.1	81.262	no	no	no	yes
SoffiXsponR570.10Fg066100.v2.1	80.828	no	no	no	yes
SoffiXsponR570.10Dg150600.v2.1	80.039	no	no	no	yes
SoffiXsponR570.03Eg239200.v2.1	80.027	no	no	no	yes
SoffiXsponR570.05Fg019600.v2.1	79.844	no	no	no	yes
SoffiXsponR570.01Bg489900.v2.1	78.425	no	no	no	yes
SoffiXsponR570.03Cg148600.v2.1	77.428	no	no	no	yes
SoffiXsponR570.09Cg112500.v2.1	77.008	no	no	no	yes
SoffiXsponR570.06Gg079900.v2.1	76.677	no	no	no	yes
SoffiXsponR570.02Eg026200.v2.1	76.386	no	no	no	yes
SoffiXsponR570.07Ag155000.v2.1	76.311	yes	no	no	yes
SoffiXsponR570.01Ag541400.v2.1	75.985	no	no	no	yes
SoffiXsponR570.05Cg077300.v2.1	75.516	no	no	no	yes
SoffiXsponR570.04Eg094700.v2.1	75.237	no	no	no	yes
SoffiXsponR570.01Dg009800.v2.1	74.62	no	no	no	yes
SoffiXsponR570.05Dg325500.v2.1	74.318	no	no	no	yes
SoffiXsponR570.03Ag324400.v2.1	73.427	no	no	no	yes
SoffiXsponR570.03Cg092600.v2.1	72.751	no	no	no	yes
SoffiXsponR570.09Bg108200.v2.1	72.719	no	no	no	yes
SoffiXsponR570.01Eg036100.v2.1	72.582	no	no	no	yes
SoffiXsponR570.01Cg219800.v2.1	71.874	no	no	no	yes
SoffiXsponR570.01Ag040700.v2.1	70.915	no	no	no	yes
SoffiXsponR570.01Dg206900.v2.1	70.849	no	no	no	yes
SoffiXsponR570.02Fg288100.v2.1	70.803	no	no	no	yes
SoffiXsponR570.9os1g058100.v2.1	70.334	no	no	no	yes
SoffiXsponR570.8_5Ag060400.v2.1	70.172	no	no	no	yes
SoffiXsponR570.10Cg077800.v2.1	68.97	no	no	no	yes
SoffiXsponR570.03Cg328100.v2.1	68.497	no	no	no	yes
SoffiXsponR570.02Dg398900.v2.1	68.189	no	no	no	yes
SoffiXsponR570.8_5Ag047800.v2.1	67.968	no	no	no	yes
SoffiXsponR570.05Bg261800.v2.1	67.832	no	no	no	yes
SoffiXsponR570.6_9Ag044400.v2.1	67.567	no	no	no	yes
SoffiXsponR570.02Bg088400.v2.1	67.476	no	no	no	yes
SoffiXsponR570.5_9Ag284800.v2.1	67.283	no	no	no	yes
SoffiXsponR570.07Ag129900.v2.1	66.659	no	no	no	yes
SoffiXsponR570.08Ag158800.v2.1	66.624	no	no	no	yes
SoffiXsponR570.02Bg279500.v2.1	66.551	no	no	no	yes
SoffiXsponR570.06Gg049200.v2.1	66.339	no	no	no	yes
SoffiXsponR570.03Eg081500.v2.1	66.275	no	no	no	yes
SoffiXsponR570.08Dg165900.v2.1	66.16	no	no	no	yes
SoffiXsponR570.05Eg060900.v2.1	66.087	no	no	no	yes
SoffiXsponR570.01Eg056200.v2.1	66.023	no	no	no	yes
SoffiXsponR570.07Dg063600.v2.1	65.907	no	no	no	yes
SoffiXsponR570.07Bg104100.v2.1	65.89	no	no	no	yes
SoffiXsponR570.07Ag127700.v2.1	65.821	no	no	no	yes
SoffiXsponR570.05Bg059900.v2.1	65.762	no	no	no	yes
SoffiXsponR570.07Eg156100.v2.1	65.384	no	no	no	yes
SoffiXsponR570.08Bg156400.v2.1	65.288	no	no	no	yes
SoffiXsponR570.04Eg105700.v2.1	65.004	no	no	no	yes
SoffiXsponR570.04Cg140900.v2.1	64.897	no	no	no	yes
SoffiXsponR570.04Ag202100.v2.1	64.737	no	no	no	yes
SoffiXsponR570.01Ag088600.v2.1	64.675	no	no	no	yes
SoffiXsponR570.1Z297200.v2.1	64.206	no	no	no	yes
SoffiXsponR570.01Eg423700.v2.1	63.873	no	no	no	yes
SoffiXsponR570.06Fg163200.v2.1	63.562	no	no	no	yes
SoffiXsponR570.05Fg279800.v2.1	63.51	no	no	no	yes
SoffiXsponR570.05Gg025700.v2.1	63.317	no	no	no	yes
SoffiXsponR570.02Fg028600.v2.1	63.223	no	no	no	yes
SoffiXsponR570.01Bg469600.v2.1	63.152	no	no	no	yes
SoffiXsponR570.09Bg102800.v2.1	62.747	no	no	no	yes
SoffiXsponR570.05Fg291900.v2.1	62.54	no	no	no	yes
SoffiXsponR570.03Cg286300.v2.1	62.384	no	no	no	yes
SoffiXsponR570.7_10Ag232500.v2.1	62.35	no	no	no	yes
SoffiXsponR570.10Ag213000.v2.1	62.044	no	no	no	yes
SoffiXsponR570.07Bg168500.v2.1	61.186	no	no	no	yes
SoffiXsponR570.9os1g022300.v2.1	60.951	no	no	no	yes
SoffiXsponR570.05Bg023200.v2.1	60.914	no	no	no	yes
SoffiXsponR570.09Dg074800.v2.1	60.824	no	no	no	yes
SoffiXsponR570.05Fg005000.v2.1	60.552	no	no	no	yes
SoffiXsponR570.01Bg170600.v2.1	60.197	no	no	no	yes
SoffiXsponR570.01Eg136200.v2.1	60.106	no	no	no	yes
SoffiXsponR570.05Eg278900.v2.1	59.062	no	no	no	yes
SoffiXsponR570.06Fg128000.v2.1	58.671	no	no	no	yes
