run	bioproject	genotype_clean	organism_sra	species_group	divergence_tier	tissue	instrument	lib_type	qc_flags	qc_pass	percent_mapped	num_mapped	genes_detected_gt0	genes_detected_ge1	tx_detected_gt0	pct_decoy	reads_raw	fastqc_raw_avg_read_length
ERR5883771	PRJEB44480	Q240	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	67.69454785950609	22493740	110629	55812	134145	13.0724	66777688	101.0
ERR5883704	PRJEB44480	Q253	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	70.91400377215025	29791719	110854	58374	137467	11.5171	84630452	101.0
ERR5883695	PRJEB44480	Q155	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	40.57279218712222	12679723	105299	49095	123857	25.1477	63114730	101.0
ERR5883673	PRJEB44480	KQB09-20432	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	60.60347062901601	22488788	111737	55419	134261	17.1106	74372296	101.0
ERR5883634	PRJEB44480	Q241	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	59.887927357719086	19444762	108928	55067	131788	15.308	65195330	101.0
ERR5883596	PRJEB44480	KQB09-20432	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	71.08968537578816	24832997	104122	56325	128375	10.7741	70208596	101.0
ERR5883268	PRJEB44480	SRA8	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	64.46396032413863	18707157	104368	53338	125988	13.3741	58361908	101.0
ERR5883265	PRJEB44480	Q241	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	69.2941083415901	22208391	105163	57941	129373	11.031	64285044	101.0
ERR5883203	PRJEB44480	MQ239	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	59.30182964970224	18510737	110753	57110	134672	15.0105	62502938	101.0
ERR5883134	PRJEB44480	Q241	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	56.85618333545681	19037016	108014	53675	128985	17.1998	67253992	101.0
ERR5884045	PRJEB44480	Q138	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	55.88681036017897	22941463	113560	55095	138641	16.7493	82282524	101.0
ERR5884044	PRJEB44480	KQ228	Saccharum hybrid cultivar	Saccharum hybrid cultivar (non-R570)	1	Stem Internode	Illumina NovaSeq 6000	ISR		PASS	70.45637875446971	25041585	108839	60005	135876	10.4605	71197488	101.0
