run	bioproject	sra_library_layout	observed_layout	n_fastq_files	salmon_expected_format	num_mapped	percent_mapped
SRR3614505	PRJNA317338	PAIRED	SINGLE	1	SF	32451	71.43863511282333
SRR3614506	PRJNA317338	PAIRED	SINGLE	1	SF	33947	71.1304347826087
SRR4383926	PRJNA317338	PAIRED	SINGLE	1	SR	16581114	76.38148727428495
SRR4383927	PRJNA317338	PAIRED	SINGLE	1	SR	16197119	72.09309229779744
