bioproject	n_runs	n_flagged	instruments	library_types	reads_raw_median	reads_raw_q1	reads_raw_q3	reads_trimmed_median	reads_trimmed_q1	reads_trimmed_q3	reads_retained_pct_median	reads_retained_pct_q1	reads_retained_pct_q3	cutadapt_pct_reads_with_adapters_median	cutadapt_pct_reads_with_adapters_q1	cutadapt_pct_reads_with_adapters_q3	cutadapt_pct_bp_removed_median	cutadapt_pct_bp_removed_q1	cutadapt_pct_bp_removed_q3	fastqc_raw_percent_gc_median	fastqc_raw_percent_gc_q1	fastqc_raw_percent_gc_q3	fastqc_raw_percent_duplicates_median	fastqc_raw_percent_duplicates_q1	fastqc_raw_percent_duplicates_q3	fastqc_raw_avg_read_length_median	fastqc_raw_avg_read_length_q1	fastqc_raw_avg_read_length_q3	fastqc_trimmed_avg_read_length_median	fastqc_trimmed_avg_read_length_q1	fastqc_trimmed_avg_read_length_q3	num_processed_median	num_processed_q1	num_processed_q3	num_mapped_median	num_mapped_q1	num_mapped_q3	percent_mapped_median	percent_mapped_q1	percent_mapped_q3	pct_decoy_median	pct_decoy_q1	pct_decoy_q3	compatible_fragment_ratio_median	compatible_fragment_ratio_q1	compatible_fragment_ratio_q3	strand_mapping_bias_median	strand_mapping_bias_q1	strand_mapping_bias_q3	frag_length_mean_median	frag_length_mean_q1	frag_length_mean_q3	genes_detected_gt0_median	genes_detected_gt0_q1	genes_detected_gt0_q3	genes_frac_ge1_median	genes_frac_ge1_q1	genes_frac_ge1_q3	tx_detected_gt0_median	tx_detected_gt0_q1	tx_detected_gt0_q3	tx_frac_ge1_median	tx_frac_ge1_q1	tx_frac_ge1_q3
PRJNA298130	2	0	Illumina HiSeq 1000	IU	83026963.0	83026963.0	83026963.0	83025898.0	83025898.0	83025898.0	99.9987	99.9987	99.9987	30.4817	30.4817	30.4817	0.5837	0.5837	0.5837	51.0	51.0	51.0	85.4052	85.4052	85.4052	95.3221	95.3221	95.3221	94.582	94.582	94.582	41512949.0	41512949.0	41512949.0	15413681.5	15413681.5	15413681.5	37.1622	37.1622	37.1622	1.468	1.468	1.468	1.0	1.0	1.0	0.4839	0.4839	0.4839	316.6261	316.6261	316.6261	27414.5	27414.5	27414.5	0.0713	0.0713	0.0713	28292.0	28292.0	28292.0	0.0477	0.0477	0.0477
PRJNA317338	4	2	NextSeq 500	SF;SR	10878185.5	47150.0	21898353.0	10878007.0	47150.0	21897954.25	99.9992	99.9982	100.0	52.5208	16.2014	88.815	0.2223	0.2188	0.2293	49.0	49.0	49.0	39.236	34.1114	43.493	504.6984	143.1385	873.4456	503.6698	142.7794	871.691	10878007.0	47150.0	21897954.25	8115533.0	33573.0	16293117.75	71.7659	71.3616	73.1652	6.7234	6.2943	7.0488	1.0	1.0	1.0	0.5	0.0	1.0	250.0	250.0	250.0	66950.5	19003.25	117061.25	0.2129	0.0995	0.3325	79266.5	19561.75	141497.75	0.1514	0.0664	0.24
PRJNA318726	2	0	Illumina HiSeq 2000	IU	78406236.0	78406236.0	78406236.0	78393844.0	78393844.0	78393844.0	99.9842	99.9842	99.9842	34.1446	34.1446	34.1446	0.9922	0.9922	0.9922	50.25	50.25	50.25	45.7083	45.7083	45.7083	90.0	90.0	90.0	89.3293	89.3293	89.3293	39196922.0	39196922.0	39196922.0	29224193.0	29224193.0	29224193.0	74.5405	74.5405	74.5405	4.8931	4.8931	4.8931	1.0	1.0	1.0	0.5039	0.5039	0.5039	163.2859	163.2859	163.2859	105776.5	105776.5	105776.5	0.3145	0.3145	0.3145	126415.5	126415.5	126415.5	0.2276	0.2276	0.2276
PRJNA324550	1	1	Illumina Genome Analyzer IIx	IU	63299644.0	63299644.0	63299644.0	59550226.0	59550226.0	59550226.0	94.0767	94.0767	94.0767	29.1658	29.1658	29.1658	6.8281	6.8281	6.8281	48.5	48.5	48.5	18.3869	18.3869	18.3869	79.0	79.0	79.0	76.53	76.53	76.53	29775113.0	29775113.0	29775113.0	21430053.0	21430053.0	21430053.0	71.973	71.973	71.973	9.5119	9.5119	9.5119	1.0	1.0	1.0	0.504	0.504	0.504	163.5652	163.5652	163.5652	128016.0	128016.0	128016.0	0.3701	0.3701	0.3701	160075.0	160075.0	160075.0	0.27	0.27	0.27
PRJNA335885	54	6	Illumina HiSeq 2000	ISF;ISR	10990959.0	5833064.0	14387014.0	10596902.0	5628700.0	13884077.5	96.2889	94.7448	97.1932	58.0726	53.7913	62.9423	14.4979	12.8272	17.1819	50.5	47.625	51.5	37.8991	30.6884	45.7625	151.0	151.0	151.0	132.1712	129.3723	134.593	5298451.0	2814350.0	6942038.75	3633844.0	2338487.5	5230528.75	75.8626	71.4182	79.8606	10.3036	8.6827	12.3109	1.0	1.0	1.0	0.0	0.0	1.0	170.246	155.6147	181.0782	88236.0	74393.25	93265.25	0.3144	0.2865	0.3314	98108.0	81939.5	106457.25	0.2235	0.2018	0.237
PRJNA339462	18	0	Illumina HiSeq 2000	ISF;ISR	28284987.0	22499073.5	33221721.5	27278320.0	21735327.0	31894340.5	96.8095	96.0746	97.4458	32.6755	32.2885	33.0468	3.8319	3.2055	4.649	50.0	49.5	50.375	49.5322	36.9292	54.2504	48.0	48.0	48.0	47.2814	47.2768	47.404	13639160.0	10867663.5	15947170.25	11403158.0	9213115.75	13391718.75	84.2936	83.2856	84.6005	3.4621	3.379	3.6152	1.0	1.0	1.0	0.0	0.0	1.0	215.8093	212.0671	222.5118	106193.0	102454.25	108727.0	0.3473	0.3342	0.3543	123037.5	117169.75	126706.25	0.2443	0.2364	0.2489
PRJNA347369	22	0	Illumina HiSeq 2500	ISF;ISR	10776703.0	6649826.5	12297155.0	10491061.0	6582391.0	11814179.0	98.1592	97.0014	99.0712	41.26	38.9622	43.351	6.4344	5.0688	7.8116	51.5	51.0	51.5	33.9171	26.7713	37.9145	151.0	151.0	151.0	142.7453	140.8232	144.4761	5245530.5	3291195.5	5907089.5	3861106.0	2665848.75	4636008.5	78.2335	75.8371	80.9894	10.9876	9.9231	13.255	1.0	1.0	1.0	0.5	0.0	1.0	259.6402	250.4605	266.5967	89270.5	84840.25	93426.25	0.3424	0.3208	0.3688	101231.5	97971.0	109176.5	0.2482	0.2329	0.2653
PRJNA356226	80	36	Illumina HiSeq 4000	ISR;IU	14954661.0	10907212.0	24771836.5	14928919.0	10889452.0	24706646.0	99.8389	99.8147	99.8567	62.6034	60.9275	64.5563	10.0329	9.3603	10.4871	49.0	47.875	52.0	60.5932	45.5882	85.4582	151.0	151.0	151.0	135.99	135.2958	137.0027	7464459.5	5444726.0	12353323.0	2598633.5	1601526.0	3569708.5	40.8105	21.4418	58.6526	22.4724	13.6103	33.6244	1.0	1.0	1.0	0.0	0.0	0.0	161.1503	156.736	164.2456	71978.0	60163.75	77953.25	0.2596	0.1418	0.2962	79285.0	64554.5	87311.75	0.1795	0.095	0.2104
PRJNA371469	16	0	Illumina HiSeq 2500	IU	22162876.0	17057280.5	32662373.0	21655482.0	16799511.0	31766748.5	98.1853	97.4869	98.5185	29.9122	29.2104	30.1609	3.9304	3.5415	4.8624	52.0	51.5	52.625	36.4172	33.4843	38.4299	101.0	101.0	101.0	97.8205	97.1661	98.0112	10827741.0	8399755.5	15883374.25	8957678.5	6961565.5	13567090.0	82.502	80.487	83.7029	9.3613	8.5415	10.657	1.0	1.0	1.0	0.5013	0.498	0.5029	309.1863	302.2499	332.9565	114555.5	109713.0	120278.5	0.3635	0.3406	0.3781	137065.0	129377.25	148197.25	0.2663	0.2464	0.2786
PRJNA379719	3	0	Illumina HiSeq 2000	IU	59641482.0	59641482.0	59641482.0	57591684.0	57591684.0	57591684.0	96.5631	96.5631	96.5631	40.7807	40.7807	40.7807	14.5012	14.5012	14.5012	57.0	57.0	57.0	65.306	65.306	65.306	101.0	101.0	101.0	88.066	88.066	88.066	28795842.0	28795842.0	28795842.0	22968463.0	22968463.0	22968463.0	79.7631	79.7631	79.7631	7.9108	7.9108	7.9108	1.0	1.0	1.0	0.4989	0.4989	0.4989	179.4532	179.4532	179.4532	101065.0	101065.0	101065.0	0.308	0.308	0.308	116082.0	116082.0	116082.0	0.2179	0.2179	0.2179
