bioproject	n_runs	n_flagged	instruments	library_types	reads_raw_median	reads_raw_q1	reads_raw_q3	reads_trimmed_median	reads_trimmed_q1	reads_trimmed_q3	reads_retained_pct_median	reads_retained_pct_q1	reads_retained_pct_q3	cutadapt_pct_reads_with_adapters_median	cutadapt_pct_reads_with_adapters_q1	cutadapt_pct_reads_with_adapters_q3	cutadapt_pct_bp_removed_median	cutadapt_pct_bp_removed_q1	cutadapt_pct_bp_removed_q3	fastqc_raw_percent_gc_median	fastqc_raw_percent_gc_q1	fastqc_raw_percent_gc_q3	fastqc_raw_percent_duplicates_median	fastqc_raw_percent_duplicates_q1	fastqc_raw_percent_duplicates_q3	fastqc_raw_avg_read_length_median	fastqc_raw_avg_read_length_q1	fastqc_raw_avg_read_length_q3	fastqc_trimmed_avg_read_length_median	fastqc_trimmed_avg_read_length_q1	fastqc_trimmed_avg_read_length_q3	num_processed_median	num_processed_q1	num_processed_q3	num_mapped_median	num_mapped_q1	num_mapped_q3	percent_mapped_median	percent_mapped_q1	percent_mapped_q3	pct_decoy_median	pct_decoy_q1	pct_decoy_q3	compatible_fragment_ratio_median	compatible_fragment_ratio_q1	compatible_fragment_ratio_q3	strand_mapping_bias_median	strand_mapping_bias_q1	strand_mapping_bias_q3	frag_length_mean_median	frag_length_mean_q1	frag_length_mean_q3	genes_detected_gt0_median	genes_detected_gt0_q1	genes_detected_gt0_q3	genes_frac_ge1_median	genes_frac_ge1_q1	genes_frac_ge1_q3	tx_detected_gt0_median	tx_detected_gt0_q1	tx_detected_gt0_q3	tx_frac_ge1_median	tx_frac_ge1_q1	tx_frac_ge1_q3
PRJNA479814	108	66	Illumina HiSeq 2000	ISR;IU	9327665.0	6497444.0	14704993.0	9255993.0	6434334.0	14591913.0	99.14	99.0076	99.2538	46.2007	43.0726	47.8852	4.5701	3.7715	5.6177	51.0	49.0	52.0	78.641	68.9773	83.5022	126.0	126.0	126.0	120.7923	119.8433	121.7336	4627996.5	3217167.0	7295956.5	1200380.5	786592.0	2489325.5	27.4085	22.1833	33.972	27.5611	24.0014	31.9799	1.0	1.0	1.0	0.0	0.0	0.0413	157.6332	149.7064	167.0995	57235.0	42505.75	66604.75	0.1705	0.1136	0.2196	61093.5	44253.75	71247.0	0.1147	0.0753	0.1496
PRJNA480179	129	32	Illumina HiSeq 2500;Illumina HiSeq 4000	ISF;ISR	75846232.0	60871766.0	92203844.0	75060274.0	59395900.0	89439564.0	99.9659	98.1921	99.9913	40.4676	38.3976	49.5071	3.6694	1.8675	6.842	47.0	45.5	51.5	80.9932	70.8743	91.1551	101.0	101.0	101.0	97.7264	94.2683	98.9253	37530137.0	29697950.0	44719782.0	14032954.0	10193902.0	17647705.0	35.2453	30.1214	42.3095	15.9382	14.2992	19.1135	1.0	1.0	1.0	0.0	0.0	0.0	147.3942	130.8308	159.6775	98715.0	76143.0	109269.0	0.2825	0.2499	0.3129	111970.0	83738.0	129595.0	0.2015	0.1759	0.2271
PRJNA504395	12	0	Illumina HiSeq 2000	IU	44463850.0	43065369.0	44883225.0	44462367.0	43063796.0	44880800.0	99.9962	99.9888	99.9965	31.4623	31.0656	34.5645	0.53	0.5126	0.6286	54.0	54.0	55.0	47.6083	43.8754	48.1238	150.0	150.0	150.0	149.0337	148.7831	149.0605	22231183.5	21531898.0	22440400.0	18152556.0	17686846.0	18535676.5	82.4935	81.0854	82.7324	9.644	9.3728	10.0148	1.0	1.0	1.0	0.4999	0.4995	0.5001	289.9013	270.0948	299.7345	106106.5	99694.75	111760.25	0.3045	0.2886	0.3227	129405.5	121562.0	135922.5	0.2265	0.2171	0.2389
PRJNA507678	10	0	Illumina HiSeq 4000	IU	57428893.0	53450286.5	66422625.5	57207937.0	53272354.5	66207670.0	99.6732	99.6605	99.68	33.2062	33.1732	36.2811	1.6436	1.6196	1.6812	55.0	55.0	55.75	16.9565	16.2795	17.6162	149.3822	149.31	149.4504	147.7214	147.5792	147.8112	28603968.5	26636177.25	33103835.0	23292276.5	21294908.75	27351814.5	80.4565	79.8531	81.9076	8.7825	8.3656	9.5704	1.0	1.0	1.0	0.5002	0.4997	0.5007	321.0076	319.2188	325.6616	121308.0	118919.5	123199.25	0.3678	0.3636	0.3757	150732.0	146684.5	152636.0	0.2709	0.2683	0.277
PRJNA528576	4	0	Illumina HiSeq 2000	IU	98396447.0	90787365.5	105078791.5	98392349.0	90783546.5	105074341.5	99.9958	99.9956	99.9958	32.1636	31.8777	32.2674	0.5471	0.5191	0.5661	56.0	55.75	56.0	55.8751	54.371	57.3837	145.2371	144.7576	145.8284	143.9753	143.5049	144.5699	49196174.5	45391773.25	52537170.75	39846631.0	36074881.5	43052245.75	81.755	79.6595	82.6663	6.1802	5.9083	6.6824	1.0	1.0	1.0	0.5017	0.5012	0.5022	250.7049	249.2179	253.7867	126278.0	124956.0	128920.0	0.3588	0.3472	0.3687	159742.0	157146.0	163042.25	0.2616	0.2522	0.2672
PRJNA533093	24	0	Illumina HiSeq 2500	IU	69627599.0	63636117.0	75383050.0	69509125.0	63409976.5	75227184.0	99.8075	99.7457	99.8787	28.9108	28.5719	29.5208	1.4936	1.2814	1.6967	58.5	57.875	59.0	51.3319	47.4583	53.3331	150.0	150.0	150.0	147.8143	147.5256	148.0456	34754562.5	31704988.25	37613592.0	27936598.5	25536404.5	31194617.75	82.4655	80.4521	83.6121	6.0378	5.9051	6.5032	1.0	1.0	1.0	0.5	0.4995	0.5002	263.4714	257.2764	266.7672	123421.5	112752.25	128061.0	0.3291	0.2995	0.3443	148065.0	136680.25	158389.25	0.2325	0.2126	0.2499
PRJNA541294	12	0	Illumina HiSeq 2000	IU	64424969.0	62080039.0	67718004.0	63545690.0	61143033.0	66691753.0	98.4839	98.4404	98.663	32.0023	31.8905	32.5215	2.4806	2.4329	2.5471	53.0	53.0	54.0	43.0475	40.8402	44.1583	125.0	125.0	125.0	123.067	123.0028	123.0906	31772845.0	30571516.5	33345876.5	26240988.5	25621847.0	27810615.25	83.2428	82.2055	83.7715	6.2062	5.9582	6.5809	1.0	1.0	1.0	0.4999	0.4997	0.5001	198.9421	197.6582	199.6485	123437.0	120954.25	125542.5	0.3702	0.3646	0.3806	153944.5	150817.25	157135.5	0.2733	0.2694	0.2856
PRJNA545885	10	0	Illumina HiSeq 2500	IU	57196080.0	43618894.0	64043591.5	57109580.0	43476071.5	63972736.0	99.8437	99.7113	99.8761	33.605	33.5172	36.0991	0.7752	0.6752	0.8324	58.0	57.0	58.75	17.1891	14.4989	21.6233	125.9835	125.9815	149.4952	125.4059	125.2289	147.6687	28554790.0	21738035.75	31986368.0	23072085.0	17505696.5	25616956.0	80.1604	77.8301	82.597	8.4271	7.2563	9.7419	1.0	1.0	1.0	0.4988	0.4982	0.4992	217.3539	212.6067	223.3983	99045.0	98156.25	101185.0	0.2733	0.2548	0.2781	118288.0	116713.75	120370.25	0.1994	0.1846	0.2049
PRJNA546134	4	0	Illumina HiScanSQ	ISR	55218148.0	46280191.5	61923058.5	55213501.0	46275766.5	61918651.5	99.9922	99.9912	99.9929	12.4814	12.2996	12.5699	0.1918	0.1898	0.1924	50.0	49.5	50.5	43.601	42.4672	44.2347	97.9749	97.8198	98.1453	97.7416	97.5889	97.9098	27606750.5	23137883.25	30959325.75	21865895.5	18108400.5	24381307.0	77.7396	76.678	78.8794	5.0423	4.8701	5.183	1.0	1.0	1.0	0.0	0.0	0.0	141.7924	140.9204	142.5086	129027.5	126943.75	130518.75	0.4103	0.4097	0.4119	158052.0	154055.25	160802.75	0.3032	0.3017	0.3053
PRJNA552659	3	0	Illumina HiSeq 2500	IU	56092416.0	56092416.0	56092416.0	56084084.0	56084084.0	56084084.0	99.9851	99.9851	99.9851	34.368	34.368	34.368	1.4784	1.4784	1.4784	52.0	52.0	52.0	53.4117	53.4117	53.4117	150.0	150.0	150.0	147.5672	147.5672	147.5672	28042042.0	28042042.0	28042042.0	22861817.0	22861817.0	22861817.0	81.5269	81.5269	81.5269	8.7536	8.7536	8.7536	1.0	1.0	1.0	0.5121	0.5121	0.5121	208.3755	208.3755	208.3755	103067.0	103067.0	103067.0	0.302	0.302	0.302	127126.0	127126.0	127126.0	0.2281	0.2281	0.2281
PRJNA555450	24	0	Illumina NovaSeq 6000	IU	39870870.0	37777831.5	43482340.5	39805858.0	37704298.0	43421075.5	99.8286	99.8115	99.8433	33.8721	33.8346	33.9129	0.5664	0.5474	0.5872	54.75	54.0	55.0	45.2728	44.0398	47.6039	150.0	150.0	150.0	149.0217	149.0033	149.0347	19902929.0	18852149.0	21710537.75	16810985.0	16014785.75	18518258.5	84.6931	83.8978	85.2492	8.6022	8.3202	9.2396	1.0	1.0	1.0	0.4972	0.4969	0.4978	350.4188	345.2249	356.8949	124231.0	122589.0	125170.25	0.3823	0.3715	0.3892	154038.5	151879.5	155643.25	0.2801	0.271	0.2847
PRJNA580882	1	0	Illumina NovaSeq 6000	ISR	317130292.0	317130292.0	317130292.0	316542386.0	316542386.0	316542386.0	99.8146	99.8146	99.8146	35.1251	35.1251	35.1251	0.8706	0.8706	0.8706	48.5	48.5	48.5	76.7799	76.7799	76.7799	151.0	151.0	151.0	149.8793	149.8793	149.8793	158271193.0	158271193.0	158271193.0	133708999.0	133708999.0	133708999.0	84.4809	84.4809	84.4809	8.33	8.33	8.33	1.0	1.0	1.0	0.0	0.0	0.0	332.4413	332.4413	332.4413	144598.0	144598.0	144598.0	0.4131	0.4131	0.4131	201052.0	201052.0	201052.0	0.3074	0.3074	0.3074
PRJNA580883	1	0	Illumina NovaSeq 6000	ISR	225428100.0	225428100.0	225428100.0	224715068.0	224715068.0	224715068.0	99.6837	99.6837	99.6837	35.6822	35.6822	35.6822	1.3341	1.3341	1.3341	51.0	51.0	51.0	77.0164	77.0164	77.0164	151.0	151.0	151.0	149.2595	149.2595	149.2595	112357534.0	112357534.0	112357534.0	93377692.0	93377692.0	93377692.0	83.1076	83.1076	83.1076	8.3398	8.3398	8.3398	1.0	1.0	1.0	0.0	0.0	0.0	294.5871	294.5871	294.5871	139865.0	139865.0	139865.0	0.3597	0.3597	0.3597	187491.0	187491.0	187491.0	0.2569	0.2569	0.2569
PRJNA580884	1	0	Illumina NovaSeq 6000	ISR	219820304.0	219820304.0	219820304.0	219516972.0	219516972.0	219516972.0	99.862	99.862	99.862	34.8696	34.8696	34.8696	0.9495	0.9495	0.9495	50.5	50.5	50.5	75.5242	75.5242	75.5242	151.0	151.0	151.0	149.7155	149.7155	149.7155	109758486.0	109758486.0	109758486.0	92119319.0	92119319.0	92119319.0	83.9291	83.9291	83.9291	8.7887	8.7887	8.7887	1.0	1.0	1.0	0.0	0.0	0.0	321.2214	321.2214	321.2214	149023.0	149023.0	149023.0	0.4201	0.4201	0.4201	200817.0	200817.0	200817.0	0.298	0.298	0.298
PRJNA580885	1	0	Illumina NovaSeq 6000	ISR	375457782.0	375457782.0	375457782.0	374857912.0	374857912.0	374857912.0	99.8402	99.8402	99.8402	35.2213	35.2213	35.2213	1.2195	1.2195	1.2195	51.5	51.5	51.5	83.2707	83.2707	83.2707	151.0	151.0	151.0	149.3218	149.3218	149.3218	187428956.0	187428956.0	187428956.0	150829847.0	150829847.0	150829847.0	80.4731	80.4731	80.4731	12.737	12.737	12.737	1.0	1.0	1.0	0.0	0.0	0.0	284.8188	284.8188	284.8188	155644.0	155644.0	155644.0	0.3763	0.3763	0.3763	209184.0	209184.0	209184.0	0.2596	0.2596	0.2596
PRJNA580886	1	0	Illumina NovaSeq 6000	ISR	264837280.0	264837280.0	264837280.0	264294182.0	264294182.0	264294182.0	99.7949	99.7949	99.7949	35.5833	35.5833	35.5833	1.2271	1.2271	1.2271	51.0	51.0	51.0	78.8355	78.8355	78.8355	151.0	151.0	151.0	149.3425	149.3425	149.3425	132147091.0	132147091.0	132147091.0	105760628.0	105760628.0	105760628.0	80.0325	80.0325	80.0325	11.1803	11.1803	11.1803	1.0	1.0	1.0	0.0	0.0	0.0	306.5124	306.5124	306.5124	145948.0	145948.0	145948.0	0.3883	0.3883	0.3883	196096.0	196096.0	196096.0	0.2746	0.2746	0.2746
PRJNA580887	1	0	Illumina NovaSeq 6000	ISR	233439888.0	233439888.0	233439888.0	232948960.0	232948960.0	232948960.0	99.7897	99.7897	99.7897	35.6505	35.6505	35.6505	1.1411	1.1411	1.1411	50.0	50.0	50.0	74.7367	74.7367	74.7367	151.0	151.0	151.0	149.4818	149.4818	149.4818	116474480.0	116474480.0	116474480.0	93529419.0	93529419.0	93529419.0	80.3004	80.3004	80.3004	11.578	11.578	11.578	1.0	1.0	1.0	0.0	0.0	0.0	301.2397	301.2397	301.2397	143258.0	143258.0	143258.0	0.4061	0.4061	0.4061	194468.0	194468.0	194468.0	0.2945	0.2945	0.2945
PRJNA580888	1	0	Illumina NovaSeq 6000	ISR	288209244.0	288209244.0	288209244.0	287928138.0	287928138.0	287928138.0	99.9025	99.9025	99.9025	35.7408	35.7408	35.7408	0.8778	0.8778	0.8778	47.5	47.5	47.5	75.9764	75.9764	75.9764	151.0	151.0	151.0	149.8098	149.8098	149.8098	143964069.0	143964069.0	143964069.0	115542056.0	115542056.0	115542056.0	80.2576	80.2576	80.2576	8.6214	8.6214	8.6214	1.0	1.0	1.0	0.0	0.0	0.0	329.2031	329.2031	329.2031	135623.0	135623.0	135623.0	0.3832	0.3832	0.3832	186330.0	186330.0	186330.0	0.2893	0.2893	0.2893
PRJNA580889	1	0	Illumina NovaSeq 6000	ISR	442665180.0	442665180.0	442665180.0	442246832.0	442246832.0	442246832.0	99.9055	99.9055	99.9055	34.8186	34.8186	34.8186	0.7721	0.7721	0.7721	48.5	48.5	48.5	76.0441	76.0441	76.0441	151.0	151.0	151.0	149.9653	149.9653	149.9653	221123416.0	221123416.0	221123416.0	181370274.0	181370274.0	181370274.0	82.0222	82.0222	82.0222	9.4735	9.4735	9.4735	1.0	1.0	1.0	0.0	0.0	0.0	353.1687	353.1687	353.1687	154020.0	154020.0	154020.0	0.4633	0.4633	0.4633	217326.0	217326.0	217326.0	0.3534	0.3534	0.3534
PRJNA580890	1	0	Illumina NovaSeq 6000	ISR	190864214.0	190864214.0	190864214.0	190653448.0	190653448.0	190653448.0	99.8896	99.8896	99.8896	34.7696	34.7696	34.7696	0.8596	0.8596	0.8596	49.5	49.5	49.5	70.767	70.767	70.767	151.0	151.0	151.0	149.8372	149.8372	149.8372	95326724.0	95326724.0	95326724.0	82560808.0	82560808.0	82560808.0	86.6083	86.6083	86.6083	6.9831	6.9831	6.9831	1.0	1.0	1.0	0.0	0.0	0.0	324.3639	324.3639	324.3639	152479.0	152479.0	152479.0	0.4551	0.4551	0.4551	207094.0	207094.0	207094.0	0.3316	0.3316	0.3316
PRJNA580891	1	0	Illumina NovaSeq 6000	ISR	270759516.0	270759516.0	270759516.0	270567648.0	270567648.0	270567648.0	99.9291	99.9291	99.9291	35.7042	35.7042	35.7042	0.767	0.767	0.767	47.5	47.5	47.5	72.4907	72.4907	72.4907	151.0	151.0	151.0	149.9603	149.9603	149.9603	135283824.0	135283824.0	135283824.0	113238778.0	113238778.0	113238778.0	83.7046	83.7046	83.7046	8.4071	8.4071	8.4071	1.0	1.0	1.0	0.0	0.0	0.0	345.1252	345.1252	345.1252	153080.0	153080.0	153080.0	0.4727	0.4727	0.4727	212889.0	212889.0	212889.0	0.3579	0.3579	0.3579
PRJNA580892	1	0	Illumina NovaSeq 6000	ISR	292417380.0	292417380.0	292417380.0	292100748.0	292100748.0	292100748.0	99.8917	99.8917	99.8917	35.1355	35.1355	35.1355	0.7314	0.7314	0.7314	47.5	47.5	47.5	72.1396	72.1396	72.1396	151.0	151.0	151.0	150.0386	150.0386	150.0386	146050374.0	146050374.0	146050374.0	121967741.0	121967741.0	121967741.0	83.5107	83.5107	83.5107	8.5865	8.5865	8.5865	1.0	1.0	1.0	0.0	0.0	0.0	356.1061	356.1061	356.1061	154658.0	154658.0	154658.0	0.4735	0.4735	0.4735	216044.0	216044.0	216044.0	0.358	0.358	0.358
PRJNA580893	1	0	Illumina NovaSeq 6000	ISR	237972812.0	237972812.0	237972812.0	237591460.0	237591460.0	237591460.0	99.8397	99.8397	99.8397	35.2342	35.2342	35.2342	1.0149	1.0149	1.0149	49.5	49.5	49.5	71.2816	71.2816	71.2816	151.0	151.0	151.0	149.6372	149.6372	149.6372	118795730.0	118795730.0	118795730.0	80899268.0	80899268.0	80899268.0	68.0995	68.0995	68.0995	4.8132	4.8132	4.8132	1.0	1.0	1.0	0.0	0.0	0.0	314.6493	314.6493	314.6493	142366.0	142366.0	142366.0	0.3804	0.3804	0.3804	186788.0	186788.0	186788.0	0.2699	0.2699	0.2699
PRJNA580894	1	0	Illumina NovaSeq 6000	ISR	252036004.0	252036004.0	252036004.0	251298972.0	251298972.0	251298972.0	99.7076	99.7076	99.7076	34.1822	34.1822	34.1822	1.2162	1.2162	1.2162	53.5	53.5	53.5	81.5014	81.5014	81.5014	151.0	151.0	151.0	149.4069	149.4069	149.4069	125649486.0	125649486.0	125649486.0	106936253.0	106936253.0	106936253.0	85.1068	85.1068	85.1068	9.8297	9.8297	9.8297	1.0	1.0	1.0	0.0	0.0	0.0	304.0826	304.0826	304.0826	143122.0	143122.0	143122.0	0.349	0.349	0.349	186585.0	186585.0	186585.0	0.2408	0.2408	0.2408
PRJNA580895	1	0	Illumina NovaSeq 6000	ISR	181436424.0	181436424.0	181436424.0	181171572.0	181171572.0	181171572.0	99.854	99.854	99.854	37.6433	37.6433	37.6433	1.44	1.44	1.44	50.5	50.5	50.5	82.3134	82.3134	82.3134	151.0	151.0	151.0	148.978	148.978	148.978	90585786.0	90585786.0	90585786.0	71268396.0	71268396.0	71268396.0	78.675	78.675	78.675	9.3228	9.3228	9.3228	1.0	1.0	1.0	0.0	0.0	0.0	277.9033	277.9033	277.9033	131477.0	131477.0	131477.0	0.373	0.373	0.373	169600.0	169600.0	169600.0	0.2673	0.2673	0.2673
PRJNA580896	1	0	Illumina NovaSeq 6000	ISR	290130004.0	290130004.0	290130004.0	289644738.0	289644738.0	289644738.0	99.8327	99.8327	99.8327	35.5833	35.5833	35.5833	0.8968	0.8968	0.8968	48.5	48.5	48.5	76.2778	76.2778	76.2778	151.0	151.0	151.0	149.8285	149.8285	149.8285	144822369.0	144822369.0	144822369.0	117408992.0	117408992.0	117408992.0	81.071	81.071	81.071	9.7494	9.7494	9.7494	1.0	1.0	1.0	0.0	0.0	0.0	327.6079	327.6079	327.6079	136302.0	136302.0	136302.0	0.371	0.371	0.371	186961.0	186961.0	186961.0	0.279	0.279	0.279
PRJNA580897	1	0	Illumina NovaSeq 6000	ISR	207950544.0	207950544.0	207950544.0	207658678.0	207658678.0	207658678.0	99.8596	99.8596	99.8596	35.5401	35.5401	35.5401	1.0398	1.0398	1.0398	49.5	49.5	49.5	75.3451	75.3451	75.3451	151.0	151.0	151.0	149.5841	149.5841	149.5841	103829339.0	103829339.0	103829339.0	88170117.0	88170117.0	88170117.0	84.9183	84.9183	84.9183	7.3587	7.3587	7.3587	1.0	1.0	1.0	0.0	0.0	0.0	310.5644	310.5644	310.5644	139223.0	139223.0	139223.0	0.3886	0.3886	0.3886	187980.0	187980.0	187980.0	0.2807	0.2807	0.2807
PRJNA580898	1	0	Illumina NovaSeq 6000	ISR	302324120.0	302324120.0	302324120.0	301888114.0	301888114.0	301888114.0	99.8558	99.8558	99.8558	34.7006	34.7006	34.7006	0.7627	0.7627	0.7627	48.5	48.5	48.5	73.4673	73.4673	73.4673	151.0	151.0	151.0	150.0136	150.0136	150.0136	150944057.0	150944057.0	150944057.0	124898251.0	124898251.0	124898251.0	82.7447	82.7447	82.7447	8.4876	8.4876	8.4876	1.0	1.0	1.0	0.0	0.0	0.0	345.1094	345.1094	345.1094	144733.0	144733.0	144733.0	0.4299	0.4299	0.4299	202026.0	202026.0	202026.0	0.3256	0.3256	0.3256
PRJNA580899	1	0	Illumina NovaSeq 6000	ISR	269760616.0	269760616.0	269760616.0	269429574.0	269429574.0	269429574.0	99.8773	99.8773	99.8773	34.4375	34.4375	34.4375	0.7287	0.7287	0.7287	49.0	49.0	49.0	75.5321	75.5321	75.5321	151.0	151.0	151.0	150.0451	150.0451	150.0451	134714787.0	134714787.0	134714787.0	115586831.0	115586831.0	115586831.0	85.8011	85.8011	85.8011	7.7768	7.7768	7.7768	1.0	1.0	1.0	0.0	0.0	0.0	382.1632	382.1632	382.1632	138326.0	138326.0	138326.0	0.4323	0.4323	0.4323	193636.0	193636.0	193636.0	0.3268	0.3268	0.3268
PRJNA580900	1	0	Illumina NovaSeq 6000	ISR	285242160.0	285242160.0	285242160.0	284940256.0	284940256.0	284940256.0	99.8942	99.8942	99.8942	34.6382	34.6382	34.6382	0.7264	0.7264	0.7264	48.5	48.5	48.5	75.8626	75.8626	75.8626	151.0	151.0	151.0	150.0382	150.0382	150.0382	142470128.0	142470128.0	142470128.0	125948155.0	125948155.0	125948155.0	88.4032	88.4032	88.4032	5.9168	5.9168	5.9168	1.0	1.0	1.0	0.0	0.0	0.0	351.8052	351.8052	351.8052	142117.0	142117.0	142117.0	0.4288	0.4288	0.4288	197737.0	197737.0	197737.0	0.3193	0.3193	0.3193
PRJNA580901	1	0	Illumina NovaSeq 6000	ISR	230537180.0	230537180.0	230537180.0	229974152.0	229974152.0	229974152.0	99.7558	99.7558	99.7558	34.6987	34.6987	34.6987	0.961	0.961	0.961	50.0	50.0	50.0	77.6322	77.6322	77.6322	151.0	151.0	151.0	149.7754	149.7754	149.7754	114987076.0	114987076.0	114987076.0	100077113.0	100077113.0	100077113.0	87.0334	87.0334	87.0334	7.3333	7.3333	7.3333	1.0	1.0	1.0	0.0	0.0	0.0	315.6872	315.6872	315.6872	140571.0	140571.0	140571.0	0.3773	0.3773	0.3773	189662.0	189662.0	189662.0	0.2707	0.2707	0.2707
PRJNA580902	1	0	Illumina NovaSeq 6000	ISR	204467048.0	204467048.0	204467048.0	204151656.0	204151656.0	204151656.0	99.8457	99.8457	99.8457	34.3353	34.3353	34.3353	0.8328	0.8328	0.8328	50.0	50.0	50.0	75.7461	75.7461	75.7461	151.0	151.0	151.0	149.907	149.907	149.907	102075828.0	102075828.0	102075828.0	87154727.0	87154727.0	87154727.0	85.3823	85.3823	85.3823	7.276	7.276	7.276	1.0	1.0	1.0	0.0	0.0	0.0	331.0524	331.0524	331.0524	139637.0	139637.0	139637.0	0.3785	0.3785	0.3785	188172.0	188172.0	188172.0	0.2724	0.2724	0.2724
PRJNA580903	1	0	Illumina NovaSeq 6000	ISR	234870554.0	234870554.0	234870554.0	234513498.0	234513498.0	234513498.0	99.848	99.848	99.848	34.6051	34.6051	34.6051	0.9891	0.9891	0.9891	51.0	51.0	51.0	77.8903	77.8903	77.8903	151.0	151.0	151.0	149.6644	149.6644	149.6644	117256749.0	117256749.0	117256749.0	102181746.0	102181746.0	102181746.0	87.1436	87.1436	87.1436	6.9074	6.9074	6.9074	1.0	1.0	1.0	0.0	0.0	0.0	311.3352	311.3352	311.3352	140263.0	140263.0	140263.0	0.3601	0.3601	0.3601	187928.0	187928.0	187928.0	0.2567	0.2567	0.2567
PRJNA580904	1	0	Illumina NovaSeq 6000	ISR	296446194.0	296446194.0	296446194.0	296049812.0	296049812.0	296049812.0	99.8663	99.8663	99.8663	34.7624	34.7624	34.7624	0.898	0.898	0.898	49.5	49.5	49.5	75.9209	75.9209	75.9209	151.0	151.0	151.0	149.7944	149.7944	149.7944	148024906.0	148024906.0	148024906.0	131708711.0	131708711.0	131708711.0	88.9774	88.9774	88.9774	5.9519	5.9519	5.9519	1.0	1.0	1.0	0.0	0.0	0.0	333.5507	333.5507	333.5507	151401.0	151401.0	151401.0	0.4392	0.4392	0.4392	209783.0	209783.0	209783.0	0.3192	0.3192	0.3192
PRJNA580905	1	0	Illumina NovaSeq 6000	ISR	250140980.0	250140980.0	250140980.0	249973754.0	249973754.0	249973754.0	99.9331	99.9331	99.9331	35.5107	35.5107	35.5107	0.8337	0.8337	0.8337	48.5	48.5	48.5	72.1057	72.1057	72.1057	151.0	151.0	151.0	149.8538	149.8538	149.8538	124986877.0	124986877.0	124986877.0	100043112.0	100043112.0	100043112.0	80.0429	80.0429	80.0429	10.337	10.337	10.337	1.0	1.0	1.0	0.0	0.0	0.0	329.3572	329.3572	329.3572	148389.0	148389.0	148389.0	0.4369	0.4369	0.4369	204559.0	204559.0	204559.0	0.3272	0.3272	0.3272
PRJNA580906	1	0	Illumina NovaSeq 6000	ISR	211044260.0	211044260.0	211044260.0	210612210.0	210612210.0	210612210.0	99.7953	99.7953	99.7953	35.1737	35.1737	35.1737	0.9872	0.9872	0.9872	49.5	49.5	49.5	75.4475	75.4475	75.4475	151.0	151.0	151.0	149.7098	149.7098	149.7098	105306105.0	105306105.0	105306105.0	91353016.0	91353016.0	91353016.0	86.75	86.75	86.75	6.8632	6.8632	6.8632	1.0	1.0	1.0	0.0	0.0	0.0	318.8621	318.8621	318.8621	147848.0	147848.0	147848.0	0.4113	0.4113	0.4113	199537.0	199537.0	199537.0	0.2924	0.2924	0.2924
PRJNA580907	1	0	Illumina NovaSeq 6000	ISR	281974394.0	281974394.0	281974394.0	281571496.0	281571496.0	281571496.0	99.8571	99.8571	99.8571	35.176	35.176	35.176	0.7646	0.7646	0.7646	47.5	47.5	47.5	74.2301	74.2301	74.2301	151.0	151.0	151.0	150.0096	150.0096	150.0096	140785748.0	140785748.0	140785748.0	120876560.0	120876560.0	120876560.0	85.8585	85.8585	85.8585	7.5063	7.5063	7.5063	1.0	1.0	1.0	0.0	0.0	0.0	360.1936	360.1936	360.1936	145491.0	145491.0	145491.0	0.4484	0.4484	0.4484	203587.0	203587.0	203587.0	0.3403	0.3403	0.3403
PRJNA580908	1	0	Illumina NovaSeq 6000	ISR	280586600.0	280586600.0	280586600.0	280324166.0	280324166.0	280324166.0	99.9065	99.9065	99.9065	34.3514	34.3514	34.3514	0.7751	0.7751	0.7751	48.5	48.5	48.5	70.8208	70.8208	70.8208	151.0	151.0	151.0	149.9589	149.9589	149.9589	140162083.0	140162083.0	140162083.0	116562405.0	116562405.0	116562405.0	83.1626	83.1626	83.1626	8.663	8.663	8.663	1.0	1.0	1.0	0.0	0.0	0.0	372.8096	372.8096	372.8096	151634.0	151634.0	151634.0	0.4625	0.4625	0.4625	211736.0	211736.0	211736.0	0.3576	0.3576	0.3576
PRJNA580909	1	0	Illumina NovaSeq 6000	ISR	21603500.0	21603500.0	21603500.0	21507956.0	21507956.0	21507956.0	99.5577	99.5577	99.5577	29.3939	29.3939	29.3939	1.3536	1.3536	1.3536	55.5	55.5	55.5	66.5783	66.5783	66.5783	151.0	151.0	151.0	149.332	149.332	149.332	10753978.0	10753978.0	10753978.0	6764880.0	6764880.0	6764880.0	62.9058	62.9058	62.9058	15.7822	15.7822	15.7822	1.0	1.0	1.0	0.0	0.0	0.0	263.0301	263.0301	263.0301	108324.0	108324.0	108324.0	0.416	0.416	0.416	123035.0	123035.0	123035.0	0.2971	0.2971	0.2971
PRJNA580910	1	0	Illumina NovaSeq 6000	ISR	281838970.0	281838970.0	281838970.0	281619482.0	281619482.0	281619482.0	99.9221	99.9221	99.9221	32.943	32.943	32.943	0.8643	0.8643	0.8643	51.5	51.5	51.5	75.3756	75.3756	75.3756	151.0	151.0	151.0	149.8043	149.8043	149.8043	140809741.0	140809741.0	140809741.0	92444517.0	92444517.0	92444517.0	65.6521	65.6521	65.6521	21.6742	21.6742	21.6742	1.0	1.0	1.0	0.0	0.0	0.0	344.9047	344.9047	344.9047	154534.0	154534.0	154534.0	0.4339	0.4339	0.4339	210711.0	210711.0	210711.0	0.3106	0.3106	0.3106
