run	experiment	bioproject	biosample	organism	instrument	qc_pass	qc_flags	status	layout	cutadapt_reads_processed	cutadapt_reads_with_adapters	cutadapt_bp_processed	cutadapt_bp_quality_trimmed	cutadapt_bp_written	cutadapt_pct_reads_with_adapters	cutadapt_pct_bp_removed	cutadapt_version	detected_layout	n_fastq_files	fastqc_raw_per_base_sequence_quality	fastqc_raw_per_sequence_quality_scores	fastqc_raw_per_base_sequence_content	fastqc_raw_per_sequence_gc_content	fastqc_raw_per_base_n_content	fastqc_raw_sequence_duplication_levels	fastqc_raw_overrepresented_sequences	fastqc_raw_adapter_content	fastqc_raw_n_fail	fastqc_raw_poor_quality_reads	reads_raw	fastqc_raw_percent_gc	fastqc_raw_avg_read_length	fastqc_raw_percent_duplicates	read_length_raw	fastqc_trimmed_per_base_sequence_quality	fastqc_trimmed_per_sequence_quality_scores	fastqc_trimmed_per_base_sequence_content	fastqc_trimmed_per_sequence_gc_content	fastqc_trimmed_per_base_n_content	fastqc_trimmed_sequence_duplication_levels	fastqc_trimmed_overrepresented_sequences	fastqc_trimmed_adapter_content	fastqc_trimmed_n_fail	fastqc_trimmed_poor_quality_reads	reads_trimmed	fastqc_trimmed_percent_gc	fastqc_trimmed_avg_read_length	fastqc_trimmed_percent_duplicates	reads_retained_pct	salmon_version	salmon_library_types	frag_length_mean	frag_length_sd	num_processed	num_mapped	percent_mapped	num_decoy_fragments	num_dovetail_fragments	num_valid_targets	quant_errors	pct_decoy	salmon_expected_format	compatible_fragment_ratio	strand_mapping_bias	num_compatible_fragments	num_assigned_fragments	num_concordant_mappings	num_inconsistent_or_orphan	lib_ISF	lib_ISR	lib_IU	lib_MSF	lib_MSR	lib_MU	lib_OSF	lib_OSR	lib_OU	lib_SF	lib_SR	lib_U	genes_total	genes_detected_gt0	genes_frac_gt0	genes_detected_ge0p5	genes_frac_ge0p5	genes_detected_ge1	genes_frac_ge1	tx_total	tx_detected_gt0	tx_frac_gt0	tx_detected_ge0p5	tx_frac_ge0p5	tx_detected_ge1	tx_frac_ge1	pipeline_version	nextflow_version	fq_lint_raw_pass	fq_lint_trimmed_pass	sra_library_layout	sra_library_selection	sra_library_source	tissue_ontology
ERR4677079	ERX4598703	PRJEB40481	SAMEA7392284	Saccharum hybrid cultivar SP80-3280	Illumina HiSeq 2500	PASS		ok	direct	23071440.0	7901605.0	2330215440.0	8438163.0	2297590410.0	34.2484	1.4001	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	23071440	51.0	101.0	38.3116	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	23010016	51.0	99.5676	38.3365	99.7338	1.10.3	ISR	166.61507154017303	58.386305432026205	11505008	9631287	83.71386617027994	790073	34772	294803		6.8672	ISR	1.0	0.0	9631287	9631287	9186648	521955	0	9186648	0	0	0	0	0	0	0	231977	289978	0	190973	109042	0.570981	87785	0.459672	74205	0.388563	294803	129499	0.439273	102506	0.34771	84571	0.286873	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677080	ERX4598704	PRJEB40481	SAMEA7392285	Saccharum spontaneum	Illumina HiSeq 2500	PASS		ok	direct	24270328.0	8559804.0	2451303128.0	10300475.0	2411358055.0	35.2686	1.6295	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	24270328	51.0	101.0	37.8524	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	24178958	51.0	99.396	37.9028	99.6235	1.10.3	ISR	161.9902455153431	57.24491669428462	12089479	10149637	83.95429612806309	749885	41684	294803		6.2028	ISR	1.0	0.0	10149637	10149637	9726130	467230	0	9726130	0	0	0	0	0	0	0	204241	262989	0	190973	102992	0.539301	80635	0.422232	67440	0.353139	294803	120231	0.407835	92445	0.313582	75693	0.256758	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677081	ERX4598705	PRJEB40481	SAMEA7392286	Saccharum spontaneum	Illumina HiSeq 2500	PASS		ok	direct	24178444.0	8536016.0	2442022844.0	9632656.0	2402780959.0	35.3042	1.6069	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	24178444	51.0	101.0	38.0965	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	24098186	51.0	99.3974	38.1525	99.6681	1.10.3	ISR	162.26486110306953	57.3682237735284	12049093	10115989	83.95643555909146	747587	41200	294803		6.2045	ISR	1.0	0.0	10115989	10115989	9700669	459822	0	9700669	0	0	0	0	0	0	0	201601	258221	0	190973	102660	0.537563	80416	0.421086	67392	0.352888	294803	119947	0.406872	92099	0.312409	75593	0.256419	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677082	ERX4598706	PRJEB40481	SAMEA7392287	Saccharum spontaneum	Illumina HiSeq 2500	PASS		ok	direct	24123298.0	8487186.0	2436453098.0	10432821.0	2396598297.0	35.1825	1.6358	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	24123298	51.0	101.0	38.0375	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	24033674	51.0	99.3902	38.1011	99.6285	1.10.3	ISR	162.03927029896465	57.12181776908073	12016837	10090913	83.97312038101208	745705	40903	294803		6.2055	ISR	1.0	0.0	10090913	10090913	9669090	465595	0	9669090	0	0	0	0	0	0	0	202747	262848	0	190973	102678	0.537657	80304	0.420499	67310	0.352458	294803	119957	0.406906	92095	0.312395	75512	0.256144	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677083	ERX4598707	PRJEB40481	SAMEA7392288	Saccharum hybrid cultivar F36-819	Illumina HiSeq 2500	PASS		ok	direct	22746456.0	7978337.0	2297392056.0	8762587.0	2261818934.0	35.0751	1.5484	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	22746456	51.0	101.0	37.3357	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	22673148	51.0	99.4514	37.3716	99.6777	1.10.3	ISR	166.27786911989307	60.194560346569254	11336574	9577945	84.48712106497076	738931	35856	294803		6.5181	ISR	1.0	0.0	9577945	9577945	9152426	497646	0	9152426	0	0	0	0	0	0	0	219250	278396	0	190973	106448	0.557398	86937	0.455232	74207	0.388573	294803	126709	0.429809	101989	0.345956	85034	0.288443	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677084	ERX4598708	PRJEB40481	SAMEA7392289	Saccharum hybrid cultivar F36-819	Illumina HiSeq 2500	PASS		ok	direct	22651570.0	7945052.0	2287808570.0	8500760.0	2252582674.0	35.0751	1.5397	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	22651570	51.0	101.0	37.2373	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	22581866	51.0	99.4524	37.2668	99.6923	1.10.3	ISR	166.61731243915145	60.37601350920243	11290933	9538536	84.47960854962119	737317	35674	294803		6.5302	ISR	1.0	0.0	9538536	9538536	9113426	499117	0	9113426	0	0	0	0	0	0	0	218755	280362	0	190973	106373	0.557005	86709	0.454038	74077	0.387893	294803	126654	0.429622	101733	0.345088	84960	0.288192	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677085	ERX4598709	PRJEB40481	SAMEA7392290	Saccharum hybrid cultivar F36-819	Illumina HiSeq 2500	PASS		ok	direct	22598764.0	7905107.0	2282475164.0	9232872.0	2246699924.0	34.9803	1.5674	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	22598764	51.0	101.0	37.2905	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	22522010	51.0	99.4423	37.3379	99.6604	1.10.3	ISR	166.6921390057697	60.561751786411065	11261005	9514950	84.49467876090988	733558	35447	294803		6.5141	ISR	1.0	0.0	9514950	9514950	9085806	501809	0	9085806	0	0	0	0	0	0	0	218519	283290	0	190973	106347	0.556869	86879	0.454928	74212	0.388599	294803	126544	0.429249	101902	0.345661	85010	0.288362	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677086	ERX4598710	PRJEB40481	SAMEA7392291	Saccharum hybrid cultivar SP80-3280	Illumina HiSeq 2500	PASS		ok	direct	27076318.0	9428967.0	2734708118.0	10536433.0	2689697171.0	34.8237	1.6459	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	warn	pass	1	0.0	27076318	52.0	101.0	39.8049	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	26980812	52.0	99.3809	39.8534	99.6473	1.10.3	ISR	159.0347849556529	53.86776808718299	13490406	11561400	85.70090477632772	806464	47422	294803		5.9781	ISR	1.0	0.0	11561400	11561400	11148098	478270	0	11148098	0	0	0	0	0	0	0	206031	272239	0	190973	113422	0.593916	90758	0.47524	77148	0.403973	294803	134933	0.457706	106019	0.359627	87779	0.297755	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677087	ERX4598711	PRJEB40481	SAMEA7392292	Saccharum hybrid cultivar SP80-3280	Illumina HiSeq 2500	PASS		ok	direct	27003906.0	9410467.0	2727394506.0	10059691.0	2682956283.0	34.8485	1.6293	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	warn	pass	1	0.0	27003906	52.0	101.0	39.8263	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	26915740	52.0	99.3839	39.8478	99.6735	1.10.3	ISR	159.07256714282772	53.91282095411827	13457870	11533874	85.70356230220682	805743	47447	294803		5.9872	ISR	1.0	0.0	11533874	11533874	11122177	478419	0	11122177	0	0	0	0	0	0	0	206265	272154	0	190973	113368	0.593634	90768	0.475292	77136	0.403911	294803	134720	0.456983	105876	0.359142	87789	0.297789	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
ERR4677088	ERX4598712	PRJEB40481	SAMEA7392293	Saccharum hybrid cultivar SP80-3280	Illumina HiSeq 2500	PASS		ok	direct	26920962.0	9346265.0	2719017162.0	10821345.0	2674115079.0	34.7174	1.6514	4.9	PAIRED	2	pass	pass	warn	fail	pass	warn	warn	pass	1	0.0	26920962	52.0	101.0	39.7694	101.0	pass	pass	warn	fail	pass	warn	pass	pass	1	0.0	26825596	52.0	99.3762	39.7837	99.6458	1.10.3	ISR	159.0885337872657	53.8462625535613	13412798	11493831	85.69301498464377	802950	46663	294803		5.9864	ISR	1.0	0.0	11493831	11493831	11079993	479026	0	11079993	0	0	0	0	0	0	0	204757	274269	0	190973	113256	0.593047	90791	0.475413	77120	0.403827	294803	134673	0.456824	105961	0.35943	87766	0.297711	v3.22.2-g3816d48	25.10.2	True	True	PAIRED	cDNA	TRANSCRIPTOMIC	PO:0009047
